NAME;       MASS;                       CHARGE
e;          0.000000910938370e-24;      -1
N2;         0.046496180670873e-24;      0
O2;         0.053138492195284e-24;      0
N;          0.023247179397067e-24;      0
O;          0.026569246097642e-24;      0
N2+;        0.046495269732503e-24;      +1
O2+;        0.053137581256914e-24;      +1
O4+;        0.106276073452198e-24;      +1
O-;         0.026569246097642e-24;      -1
O2-;        0.053139403133654e-24;      -1
O3-;        0.079707738292926e-14;      -1
I+;         0.049816425494708e-24;      +1
I-;         0.053139403133654e-24;      -1
He(gnd);    6.642311524410494e-27;      0
He(+,gnd);  6.642311524410494e-27;      +1
He(*);      6.642311524410494e-27;      0
He2(+,X);   1.328462304882099e-26;      +1
He2(*);     1.328462304882099e-26;      0
Ar;         6.642311524410495e-23;      0   
Ars;        6.642311524410495e-23;      0
Arp;        6.642311524410495e-23;      +1